
2025/04/12 (23:16:37) | ===> btop++ v.1.4.0
2025/04/12 (23:16:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/12 (23:17:28) | ===> btop++ v.1.4.0
2025/04/12 (23:17:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/12 (23:23:21) | ===> btop++ v.1.4.0
2025/04/12 (23:23:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/12 (23:25:38) | ===> btop++ v.1.4.0
2025/04/12 (23:25:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/12 (23:33:28) | ===> btop++ v.1.4.0
2025/04/12 (23:33:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/12 (23:33:52) | ===> btop++ v.1.4.0
2025/04/12 (23:33:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/12 (23:39:10) | ===> btop++ v.1.4.0
2025/04/12 (23:39:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/13 (00:14:14) | ===> btop++ v.1.4.0
2025/04/13 (00:14:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/13 (00:14:25) | ===> btop++ v.1.4.0
2025/04/13 (00:14:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/13 (00:16:22) | ===> btop++ v.1.4.0
2025/04/13 (00:16:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/13 (00:18:44) | ===> btop++ v.1.4.0
2025/04/13 (00:18:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/13 (06:06:29) | ERROR: Stall in Runner thread, restarting!

2025/04/13 (06:09:11) | ===> btop++ v.1.4.0
2025/04/13 (06:09:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/13 (06:19:18) | ===> btop++ v.1.4.0
2025/04/13 (06:19:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/04/13 (06:19:54) | ===> btop++ v.1.4.0
2025/04/13 (06:19:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported
